t_s,seq,ax,ay,az,gx,gy,gz
891429.534535,8,0.0,0.013000000000000001,1.08,1.54,-2.66,0.7000000000000001
891429.769620,10,0.001,0.012,1.078,1.4000000000000001,-2.45,0.63
891429.950051,13,0.0,0.009000000000000001,1.083,1.54,-2.59,0.63
891430.131740,15,-0.001,0.009000000000000001,1.08,1.54,-2.66,0.7000000000000001
891430.311917,17,0.001,0.011,1.082,1.54,-2.52,0.49
891430.490402,19,-0.001,0.009000000000000001,1.082,1.33,-2.45,0.7000000000000001
891430.672416,21,0.0,0.01,1.082,1.54,-2.59,0.7000000000000001
891430.851337,23,0.001,0.012,1.078,1.26,-2.59,0.63
891431.032065,25,0.12,-0.08,0.719,-1.82,-16.38,3.36
891431.211568,27,0.106,-0.025,1.065,9.24,-4.0600000000000005,-0.35000000000000003
891431.392050,29,0.004,0.10200000000000001,1.095,131.81,3.0100000000000002,-5.39
891431.569773,31,-0.042,0.47600000000000003,0.86,224.49,21.77,33.39
891431.751916,33,-0.017,0.97,0.339,98.91,-0.14,-0.28
891431.930887,35,-0.047,1.002,0.11,25.69,-2.31,-3.7800000000000002
891432.112111,37,-0.043000000000000003,1.004,0.054,9.31,-0.35000000000000003,0.42
891432.292587,39,-0.053,1.004,0.079,4.0600000000000005,-2.38,0.56
891432.471711,41,-0.049,1.002,0.083,2.24,-2.45,0.56
891432.649978,43,-0.049,1.0030000000000001,0.081,1.47,-2.66,0.7000000000000001
891432.831995,45,-0.051000000000000004,0.975,0.28200000000000003,-81.9,-2.1,4.2700000000000005
891433.011932,47,-0.019,0.845,0.591,-139.65,-6.72,1.26
891433.190207,49,-0.011,0.548,0.912,-100.73,-2.17,1.47
891433.491832,51,-0.007,0.311,1.027,-94.85000000000001,-4.55,1.12
891433.729703,55,-0.009000000000000001,0.017,1.075,-3.5,-0.77,1.75
891433.910548,57,0.007,0.017,1.084,0.35000000000000003,-2.31,0.91
891434.091949,59,-0.047,-0.033,1.048,12.81,-6.86,-1.61
891434.271114,61,-0.021,-0.03,1.052,0.63,-2.31,1.05
891434.452055,63,0.061,0.066,1.098,34.09,0.42,-0.07
891434.631949,65,-0.016,0.23600000000000002,1.057,103.46000000000001,0.42,-3.0100000000000002
891434.809883,67,-0.013000000000000001,0.531,0.93,82.39,-2.0300000000000002,0.21
891434.991218,69,-0.02,0.731,0.753,84.63,-2.45,0.07
891435.171926,71,-0.017,0.886,0.535,97.23,0.0,0.0
891435.352055,73,-0.033,0.979,0.279,91.42,-3.15,-1.47
891435.531110,75,-0.035,1.004,0.126,2.38,-3.92,0.98
891435.709812,77,-0.043000000000000003,1.004,0.052000000000000005,-0.07,-2.66,0.21
891435.891571,79,-0.041,1.0070000000000001,0.058,-2.73,-2.38,0.42
891436.069897,81,-0.048,1.006,0.069,3.7800000000000002,-2.59,0.63
891436.251149,83,-0.049,1.004,0.076,5.04,-2.45,0.7000000000000001
891436.431346,85,-0.046,1.0030000000000001,0.078,3.92,-2.59,0.56
891436.612128,87,-0.047,1.0010000000000001,0.081,2.66,-2.66,0.63
891436.791985,89,-0.077,1.02,-0.016,-82.95,-13.790000000000001,9.8
891436.970094,91,-0.008,0.844,0.537,-224.0,-7.63,2.17
891437.151167,93,-0.012,0.209,1.063,-217.91,-6.37,-1.12
891437.329844,95,-0.02,0.007,1.078,19.740000000000002,-4.0600000000000005,-2.66
891437.510785,97,-0.036000000000000004,0.013000000000000001,1.071,2.52,-3.71,0.14
891437.691655,99,-0.005,0.005,1.077,3.29,-3.15,0.14
891437.871132,101,0.018000000000000002,-0.012,1.082,3.29,-2.31,1.12
891438.051828,103,0.008,0.006,1.083,3.5,-3.22,0.14
891438.229628,105,-0.004,-0.002,1.078,-4.2,-1.96,1.54
891438.412563,107,-0.015,0.0,1.096,28.14,-3.64,-1.12
891438.592199,109,-0.017,0.37,1.039,203.56,21.42,-32.34
